날짜,지역명,지표,거래구분,값
2026-06-22,광주,가격지수,매매,98.5349
2024-06-24,대구,가격지수,매매,104.3477
2024-07-01,대구,가격지수,매매,104.2477
2024-07-08,대구,가격지수,매매,104.1235
2024-07-15,대구,가격지수,매매,104.0754
2024-07-22,대구,가격지수,매매,104.0139
2024-07-29,대구,가격지수,매매,103.963
2024-08-05,대구,가격지수,매매,103.8834
2024-08-12,대구,가격지수,매매,103.8467
2024-08-19,대구,가격지수,매매,103.7408
2024-08-26,대구,가격지수,매매,103.7111
2024-09-02,대구,가격지수,매매,103.6273
2024-09-09,대구,가격지수,매매,103.5933
2024-09-23,대구,가격지수,매매,103.5464
2024-09-30,대구,가격지수,매매,103.5045
2024-10-07,대구,가격지수,매매,103.4637
2024-10-14,대구,가격지수,매매,103.4079
2024-10-21,대구,가격지수,매매,103.3252
2024-10-28,대구,가격지수,매매,103.2835
2024-11-04,대구,가격지수,매매,103.1914
2024-11-11,대구,가격지수,매매,103.0963
2024-11-18,대구,가격지수,매매,102.9749
2024-11-25,대구,가격지수,매매,102.844
2024-12-02,대구,가격지수,매매,102.7663
2024-12-09,대구,가격지수,매매,102.7015
2024-12-16,대구,가격지수,매매,102.6202
2024-12-23,대구,가격지수,매매,102.565
2024-12-30,대구,가격지수,매매,102.4442
2025-01-06,대구,가격지수,매매,102.3662
2025-01-13,대구,가격지수,매매,102.2508
2025-01-20,대구,가격지수,매매,102.1389
2025-02-03,대구,가격지수,매매,102.0057
2025-02-10,대구,가격지수,매매,101.9416
2025-02-17,대구,가격지수,매매,101.8512
2025-02-24,대구,가격지수,매매,101.7728
2025-03-03,대구,가격지수,매매,101.7228
2025-03-10,대구,가격지수,매매,101.6657
2025-03-17,대구,가격지수,매매,101.6086
2025-03-24,대구,가격지수,매매,101.5638
2025-03-31,대구,가격지수,매매,101.5219
2025-04-07,대구,가격지수,매매,101.4625
2025-04-14,대구,가격지수,매매,101.4009
2025-04-21,대구,가격지수,매매,101.3417
